LAI,CAC,Sensible heat flux (kJ/hr),Latent heat flux (kg/hr)
0.012735,0.004934,-0.221370,0.000285
0.012769,0.004947,-0.221961,0.000285
0.012804,0.004960,-0.222570,0.000286
0.012839,0.004974,-0.223178,0.000287
0.012873,0.004987,-0.223769,0.000288
0.012908,0.005001,-0.224377,0.000289
0.012943,0.005014,-0.224986,0.000289
0.012978,0.005028,-0.225594,0.000290
0.013013,0.005041,-0.226203,0.000291
0.013048,0.005055,-0.226811,0.000292
0.013084,0.005069,-0.227437,0.000293
0.013119,0.005082,-0.228045,0.000293
0.013154,0.005096,-0.228653,0.000294
0.013190,0.005110,-0.229279,0.000295
0.013225,0.005123,-0.229888,0.000296
0.013261,0.005137,-0.230513,0.000296
0.013297,0.005151,-0.231139,0.000297
0.013332,0.005165,-0.231748,0.000298
0.013368,0.005179,-0.232373,0.000299
0.013404,0.005193,-0.232999,0.000300
0.013440,0.005207,-0.233625,0.000300
0.013476,0.005221,-0.234251,0.000301
0.013513,0.005235,-0.234894,0.000302
0.013549,0.005249,-0.235520,0.000303
0.013585,0.005263,-0.236145,0.000304
0.013622,0.005277,-0.236789,0.000305
0.013658,0.005291,-0.237414,0.000305
0.013695,0.005306,-0.238058,0.000306
0.013732,0.005320,-0.238701,0.000307
0.013769,0.005334,-0.239344,0.000308
0.013806,0.005348,-0.239987,0.000309
0.013843,0.005363,-0.240630,0.000309
0.013880,0.005377,-0.241273,0.000310
0.013917,0.005391,-0.241917,0.000311
0.013954,0.005406,-0.242560,0.000312
0.013991,0.005420,-0.243203,0.000313
0.014029,0.005435,-0.243863,0.000314
0.014066,0.005449,-0.244507,0.000314
0.014104,0.005464,-0.245167,0.000315
0.014142,0.005478,-0.245828,0.000316
0.014179,0.005493,-0.246471,0.000317
0.014217,0.005508,-0.247131,0.000318
0.014255,0.005522,-0.247792,0.000319
0.014293,0.005537,-0.248453,0.000320
0.014331,0.005552,-0.249113,0.000320
0.014370,0.005567,-0.249791,0.000321
0.014408,0.005582,-0.250452,0.000322
0.014446,0.005596,-0.251112,0.000323
0.014485,0.005611,-0.251790,0.000324
0.014523,0.005626,-0.252451,0.000325
0.014562,0.005641,-0.253128,0.000326
0.014601,0.005656,-0.253806,0.000326
0.014640,0.005671,-0.254484,0.000327
